,movie_name,director_average
745, 노리개 시즈카 부인,45
746, 노예 12년,12496
747, 논스톱,337161
748, 뇌남,0
749, 닐스의 모험,8188
750, 대무생,0
751, 레바논 감정,0
752, 모뉴먼츠 맨: 세기의 작전,68560
753, 미 앤 유,30912
754, 미스터 컴퍼니,802
755, 미하엘 콜하스의 선택,0
756, 볼쇼이 스페셜 갈라,0
757, 암전 2,11907
758, 여배우는 너무해,590746
759, 와일드 영,220709
760, 이디야와 얼음왕국의 전설,0
761, 일대고수,0
762, 죽도록 아름다운 세상,0
763, 파이오니아,0
764, 포화속의 우정,0
765, 홈 스위트 홈,0
766, 다이애나,269643
767, 달라스 바이어스 클럽,38987
768, 두갈: 마법의 회전목마,0
769, 라스트 에너미,23
770, 라이프 오브 시몬,0
771, 만신,0
772, 메이드하녀-금단의봉사,22
773, 불량경찰4: 부정부패소탕작전,485
774, 조난자들,24595
775, 주윤발의 도성풍운,50954
776, 하늘이 보내준 딸,0
777, 하트 브레이커,30
778, 에로틱 사이렌,0
779, 음란한 게이샤의 정사,0
780," 불륜, 와이프의 여동생",27
781, 은교,340975
782, 타이타닉 2,1
783, 너무 밝히는 소녀 알마,0
784, 레드마리아,657
785," 봄, 눈",32256
786, 추적자,10
787, 탐욕의 제국,0
788, 투 더 원더,230217
789, 페인트볼,26262
790, 폭유!수영교실,16
791, 피쉬와 칩스 극장판,0
792, 300: 제국의 부활,45818
793, 배틀로얄 극악소년원,5
794, 나가요 미스콜,704
795, 더 뮬: 죽음의 질주,0
796, 몬스터,3009356
797, 비포 : 하늘을 나는 강아지의 모험,13208
798, 사다코 2,61552
799, 사이보그프린세스,73562
800, 수영복 불륜정사,16
801, 엔들리스 러브,0
802, 여의사: 욕망의 진료실,0
803, 우리가 들려줄 이야기 ,41323
804, 우아한 거짓말,2002688
805, 원 챈스,499892
806, 재팬아나운서 나나세,26
807, 존은 끝에 가서 죽는다,43282
808," 하늘을 나는 강아지, 비포와 친구들",10219
809, 화창한 그날들,143
810, 토스카,0
811, 두 아내,307
812, 교수님의 은밀한 강요,48
813, 아로마 마사지의 유혹,38
814, 고스톱 살인,0
815, 그랜드 부다페스트 호텔,22170
816, 꼬마영웅 경찰차 프로디2,52154
817, 나쁜 여자,268
818, 노아,339341
819, 누드 모델,0
820, 더 파크랜드,0
821, 러브 인 비즈니스클래스,0
822, 벨과 세바스찬,0
823, 사랑이 필요할 때,0
824, 솔로,0
825, 스티븐 시걸의 CIA,41
826, 영웅: 천하의 시작,291170
827, 오빠가 돌아왔다,371
828, 존 라베 : 난징 대학살,0
829, 징기스칸 2014,0
830, 트리쉬나,14676
831, 프라이버시,18645
832, 피카소: 명작스캔들,307
833, 스콜피온 인 러브,0
834, 캡틴 아메리카: 윈터 솔져,4431286
835, 고스트 킬러: 모니카,533
836, 고스트 패밀리: 구출 대작전,22894
837, 도서관 전쟁,36787
838, 랑랑 라이브 인 런던,0
839, 메이지가 알고 있었던 일,1140
840, 미피의 동물원 보물찾기,0
841, 불륜의 맛,438
842, 블러드 타이즈 ,5073
843, 스케치,7259
844, 쌍성계: 고대전설의 부활,10
845," 씨, 베토벤",180767
846, 아바타 정글의 비밀,0
847, 아이스맨,46216
848, 온 더 로드,40049
849, 천주정,2712
850, 청춘학당 : 풍기문란 보쌈 야사,0
851, 초원의 왕 도제,34012
852, 카니발 - 피의 만찬,510
853, 타인의 멜로디,11616
854, 그녀의 은밀한 향기,47
855, 론 서바이버 ,800715
856, 불륜 현장,0
857, 선배 애인의 유혹,47
858, 유우나의 부드러운 사랑,12
859, 들개,0
860, 레커스,0
861, 리댁티드,149013
862, 리얼리티: 꿈의 미로,30249
863, 백프로,0
864, 세이빙 미스터 뱅크스,134949
865, 쓰리데이즈 투 킬,1883900
866, 어거스트: 가족의 초상,187122
867, 왕의 이름으로 2,30
868, 웨이스트 랜드,0
869, 짱구는 못말려 극장판：엄청 맛있어! B급 음식 서바이벌!,267362
870, 베요네타-블러디 페이트,0
871, 유부녀의 상상간음,2
872, 조교신세계,47
873, 가시,352163
