,movie_name,nation,distribution,director_average,actor_sum,rate,genre,release_date,day1_screen,day1_audience,day15_date,day15_audience
409,루팡 3세 : 바빌론의 황금전설,일본,(주)쇼박스,0,0,12세이상관람가|12세이상관람가,코미디|드라마,2013-08-15,1,2,2013-08-28,0
410,노 원 리브스,미국,(주)영화사 빅,58255,0,전체관람가,애니메이션|SF|어드벤처,2013-08-29,5,42,2013-09-11,0
411,삼총사2013,미국,에이원엔터테인먼트,1,0,12세이상관람가,애니메이션|액션|어드벤처,2013-08-29,3,260,2013-09-11,5410
412,여자감옥,일본,씨네그루(주)다우기술,23,0,청소년관람불가,스릴러|공포(호러),2013-07-10,1,50,2013-07-23,0
413,오일 마사지샵의 비밀,일본,(주)케이알씨지,7,0,청소년관람불가,스릴러|액션,2013-08-15,1,10,2013-08-28,0
414,언터처블: 1%의 우정,프랑스,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),40321,309480,전체관람가|전체관람가,애니메이션|코미디|가족,2012-03-22,311,46216,2012-04-04,1046006
415,치어리더 캠프,미국,(주)수키픽쳐스,0,0,청소년관람불가,스릴러|액션,2013-07-04,1,80,2013-07-17,0
416,스페이스 독,러시아,(주)도키엔터테인먼트,0,0,청소년관람불가,성인물(에로),2012-03-22,56,232,2012-04-04,36207
417,V/H/S/2: 악마를 부르는 비디오,미국,(주)도키엔터테인먼트,25774,0,청소년관람불가,성인물(에로),2013-08-14,1,75,2013-08-27,0
418,식스 블릿츠: 분노의 추적,미국,(주)스넵쏘울,30826,0,청소년관람불가,코미디,2013-08-16,1,195,2013-08-29,0
419,에어라인 플라이트,미국,예지림엔터테인먼트,0,0,전체관람가|전체관람가,애니메이션|코미디|가족,2013-07-18,2,180,2013-07-31,2240
420,그리고 싶은 것,한국,(주)소나무픽쳐스,833,752516,청소년관람불가,스릴러|액션|범죄,2013-08-15,23,547,2013-08-28,3639
421,폭스파이어,프랑스,(유)조이앤컨텐츠그룹,7743,0,15세이상관람가,스릴러|액션,2013-08-22,29,405,2013-09-04,7881
422,스페이스 독,러시아,(주)도키엔터테인먼트,0,0,청소년관람불가,성인물(에로),2012-03-22,56,232,2012-04-04,36207
423,밀크 오브 소로우-슬픈 모유,스페인,(주)시네마달,0,0,전체관람가,다큐멘터리,2013-08-22,1,45,2013-09-04,519
424,달팽이의 별,한국,그린나래미디어(주),777,0,15세이상관람가,드라마,2012-03-22,33,699,2012-04-04,10928
425,라 당스,프랑스,㈜영화사 백두대간,2782,2177,15세이상관람가,드라마,2013-08-22,5,250,2013-09-04,4382
426,체리밤,영국,(주)스넵쏘울,0,0,청소년관람불가,코미디,2013-08-14,3,378,2013-08-27,0
427,비키니 대작전,홍콩,(주)영화사조아,56,0,전체관람가,다큐멘터리,2013-09-06,1,201,2013-09-19,0
428,더블샤크,미국,(주)영화사 진진,86,0,전체관람가,다큐멘터리,2013-09-05,5,330,2013-09-18,5650
429,우리들의 헤어진 여자친구,한국,(주)소나무픽쳐스,330,0,청소년관람불가,코미디|멜로/로맨스,2013-08-29,4,141,2013-09-11,514
430,수상한 가족,미국,(주)케이알씨지,423,0,청소년관람불가,공포(호러)|스릴러,2013-08-28,5,200,2013-09-10,0
431,탱고 위드 미,벨기에,골든타이드픽처스(주),16116,56451,청소년관람불가,멜로/로맨스|드라마,2013-08-29,7,145,2013-09-11,2116
432,할매,한국,(주)수키픽쳐스,1399,0,15세이상관람가,코미디|드라마,2013-08-29,1,5,2013-09-11,240
433,브레이크 블레이드6: 결전의 시간,일본,(주)에스와이코마드,104,5870,청소년관람불가,드라마,2013-08-22,1,10,2013-09-04,90
434,밀레니엄 : 제2부 불을 가지고 노는 소녀,스웨덴,'탁주'조합,2457,334393,15세이상관람가,다큐멘터리,2012-03-22,5,56,2012-04-04,1358
435,카라스: 프로퍼시,일본,(주)케이알씨지,695,0,전체관람가,애니메이션,2013-08-29,5,140,2013-09-11,0
